Текущее время и дата: 26-12-2021 22:08:46, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:09:36, Log level: WARN, Идентификатор треда: LogThread-1, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:09:36, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:09:36, Log level: WARN, Идентификатор треда: LogThread-3, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:09:38, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:09:39, Log level: WARN, Идентификатор треда: LogThread-1, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:09:40, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:09:40, Log level: WARN, Идентификатор треда: LogThread-3, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:09:42, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:09:42, Log level: WARN, Идентификатор треда: LogThread-1, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:09:44, Log level: WARN, Идентификатор треда: LogThread-3, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:09:44, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:09:45, Log level: WARN, Идентификатор треда: LogThread-1, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:09:46, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:09:48, Log level: WARN, Идентификатор треда: LogThread-1, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:09:48, Log level: WARN, Идентификатор треда: LogThread-3, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:09:48, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:09:50, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:09:51, Log level: WARN, Идентификатор треда: LogThread-1, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:09:52, Log level: WARN, Идентификатор треда: LogThread-3, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:09:52, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:09:54, Log level: WARN, Идентификатор треда: LogThread-1, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:09:54, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:09:56, Log level: WARN, Идентификатор треда: LogThread-3, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:09:56, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:09:57, Log level: WARN, Идентификатор треда: LogThread-1, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:09:58, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:10:00, Log level: WARN, Идентификатор треда: LogThread-3, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:10:00, Log level: WARN, Идентификатор треда: LogThread-1, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:10:00, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:10:02, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:10:03, Log level: WARN, Идентификатор треда: LogThread-1, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:10:04, Log level: WARN, Идентификатор треда: LogThread-3, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:10:04, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:10:06, Log level: WARN, Идентификатор треда: LogThread-1, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:10:06, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:10:08, Log level: WARN, Идентификатор треда: LogThread-3, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:10:08, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:10:09, Log level: WARN, Идентификатор треда: LogThread-1, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:10:10, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:10:12, Log level: WARN, Идентификатор треда: LogThread-3, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:10:12, Log level: WARN, Идентификатор треда: LogThread-1, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:10:12, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:10:14, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:10:15, Log level: WARN, Идентификатор треда: LogThread-1, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:10:16, Log level: WARN, Идентификатор треда: LogThread-3, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:10:16, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:10:18, Log level: WARN, Идентификатор треда: LogThread-1, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:10:18, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:10:20, Log level: WARN, Идентификатор треда: LogThread-3, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:10:20, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:10:21, Log level: WARN, Идентификатор треда: LogThread-1, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:10:22, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:10:24, Log level: WARN, Идентификатор треда: LogThread-1, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:10:24, Log level: WARN, Идентификатор треда: LogThread-3, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:10:24, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:10:26, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:10:27, Log level: WARN, Идентификатор треда: LogThread-1, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:10:28, Log level: WARN, Идентификатор треда: LogThread-3, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:10:28, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:10:30, Log level: WARN, Идентификатор треда: LogThread-1, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:10:30, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:10:32, Log level: WARN, Идентификатор треда: LogThread-3, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:10:32, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:10:33, Log level: WARN, Идентификатор треда: LogThread-1, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:10:34, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:13:23, Log level: INFO, Идентификатор треда: LogThread-3, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:13:23, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:13:23, Log level: INFO, Идентификатор треда: LogThread-1, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:13:25, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:13:26, Log level: INFO, Идентификатор треда: LogThread-1, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:13:27, Log level: INFO, Идентификатор треда: LogThread-3, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:13:27, Log level: INFO, Идентификатор треда: LogThread-2, Статус лога в данный момент INFO
Текущее время и дата: 26-12-2021 22:13:41, Log level: ERROR, Идентификатор треда: LogThread-3, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:13:41, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:13:41, Log level: WARN, Идентификатор треда: LogThread-2, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:13:43, Log level: WARN, Идентификатор треда: LogThread-2, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:13:44, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:13:45, Log level: WARN, Идентификатор треда: LogThread-2, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:13:45, Log level: ERROR, Идентификатор треда: LogThread-3, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:13:47, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:13:47, Log level: WARN, Идентификатор треда: LogThread-2, Статус лога в данный момент WARN
Текущее время и дата: 26-12-2021 22:13:49, Log level: ERROR, Идентификатор треда: LogThread-3, Статус лога в данный момент ERROR
